Done,Topic,Name,Confidence,Notes,URL,Week
"",Dynamic Programming,"Combination Sum IV","","",https://leetcode.com/problems/combination-sum-iv, 8

"",Hash Table,"Insert Delete GetRandom O(1)","","",https://leetcode.com/problems/insert-delete-getrandom-o1, 9
"",Array,"Non-overlapping Intervals","","",https://leetcode.com/problems/non-overlapping-intervals, 9
"",String,"Minimum Window Substring","","",https://leetcode.com/problems/minimum-window-substring, 9
"",Binary Tree,"Serialize and Deserialize Binary Tree","","",https://leetcode.com/problems/serialize-and-deserialize-binary-tree, 9
"",Stack,"Trapping Rain Water","","",https://leetcode.com/problems/trapping-rain-water, 9
"",Heap,"Find Median from Data Stream","","",https://leetcode.com/problems/find-median-from-data-stream, 9
"",Graph,"Word Ladder","","",https://leetcode.com/problems/word-ladder, 9
"",Stack,"Basic Calculator","","",https://leetcode.com/problems/basic-calculator, 9
"",Binary Search,"Maximum Profit in Job Scheduling","","",https://leetcode.com/problems/maximum-profit-in-job-scheduling, 9
"",Heap,"Merge k Sorted Lists","","",https://leetcode.com/problems/merge-k-sorted-lists, 9
"",Stack,"Largest Rectangle in Histogram","","",https://leetcode.com/problems/largest-rectangle-in-histogram, 9
"",Binary Tree,"Binary Tree Maximum Path Sum","","",https://leetcode.com/problems/binary-tree-maximum-path-sum, 9
"",Stack,"Maximum Frequency Stack","","",https://leetcode.com/problems/maximum-frequency-stack, 9

"",Binary Search,"Median of Two Sorted Arrays","","",https://leetcode.com/problems/median-of-two-sorted-arrays, 10
"",Graph,"Longest Increasing Path in a Matrix","","",https://leetcode.com/problems/longest-increasing-path-in-a-matrix, 10
"",Stack,"Longest Valid Parentheses","","",https://leetcode.com/problems/longest-valid-parentheses, 10
"",Trie,"Design In-Memory File System","","",https://leetcode.com/problems/design-in-memory-file-system, 10
"",Array,"Employee Free Time","","",https://leetcode.com/problems/employee-free-time, 10
"",Graph,"Word Search II","","",https://leetcode.com/problems/word-search-ii, 10
"",Graph,"Alien Dictionary","","",https://leetcode.com/problems/alien-dictionary, 10
"",Graph,"Bus Routes","","",https://leetcode.com/problems/bus-routes, 10
"",Array,"Sliding Window Maximum","","",https://leetcode.com/problems/sliding-window-maximum, 10
"",String,"Palindrome Pairs","","",https://leetcode.com/problems/palindrome-pairs, 10
"",Linked List,"Reverse Nodes in k-Group","","",https://leetcode.com/problems/reverse-nodes-in-k-group, 10
"",Matrix,"Sudoku Solver","","",https://leetcode.com/problems/sudoku-solver, 10
"",Hash Table,"First Missing Positive","","",https://leetcode.com/problems/first-missing-positive, 10
"",Recursion,"N-Queens","","",https://leetcode.com/problems/n-queens, 10
"",Heap,"Smallest Range Covering Elements from K Lists","","",https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists, 10

